date,read,link
7월 8일,예레미야 14-16장,https://www.youtube.com/playlist?list=PL-MVshquUXWE4TxxsEpg-_rmDF5YGcDV1
7월 9일,예레미야 17-20장,https://www.youtube.com/playlist?list=PL-MVshquUXWF11bDu6EU-DOEu7tDMmksc
7월 10일,예레미야 21-23장,https://www.youtube.com/playlist?list=PL-MVshquUXWETjnSoLpiOi4ARPPDwDrGn
7월 11일,예레미야 24-25장,https://www.youtube.com/playlist?list=PL-MVshquUXWFD9S51SO1yI0rTyA-2DIB2
7월 12일,예레미야 26-28장,https://www.youtube.com/playlist?list=PL-MVshquUXWFRpPB6zNVZoiGOAVVsdHBj
7월 13일,예레미야 29-31장,https://www.youtube.com/playlist?list=PL-MVshquUXWFNX6zqDykEogWiWeDRieUL
7월 15일,예레미야 32-33장,https://www.youtube.com/playlist?list=PL-MVshquUXWFUUesZ3gWetuLSq4r5pe10
7월 16일,예레미야 34-36장,https://www.youtube.com/playlist?list=PL-MVshquUXWEGCANGrp9esVU0_zY5zmMK
7월 17일,예레미야 37-38장,https://www.youtube.com/playlist?list=PL-MVshquUXWEa7flSOD8oVJ0vRouJdsDU
7월 18일,"열왕기하 25장, 예레미야 39-41장 ",https://www.youtube.com/playlist?list=PL-MVshquUXWGtnl67wrTlm2ukybpzgL1J
7월 19일,예레미야 42-45장,https://www.youtube.com/playlist?list=PL-MVshquUXWEGVk0FKxX6IUygbFu8mn8m
7월 20일,예레미야 46-48장,https://www.youtube.com/playlist?list=PL-MVshquUXWG95DOwvbPARR_b3MgGSGSt
7월 22일,예레미야 49-52장,https://www.youtube.com/playlist?list=PL-MVshquUXWGFVaTHgwwoMRjpuOwXMl6v
7월 23일,애가 1-2장,https://www.youtube.com/playlist?list=PL-MVshquUXWEgDhKanMNbfbM2HmaJOOb5
7월 24일,애가 3-5장,https://www.youtube.com/playlist?list=PL-MVshquUXWHL745qZqzFnWrH9eKDKspi
7월 25일,오바댜 1장,https://www.youtube.com/playlist?list=PL-MVshquUXWF2KjkIKcuVoUcZSVCocYcn
7월 26일,역대상 1-3장,https://www.youtube.com/playlist?list=PL-MVshquUXWEmFPA236OeBDaRyf4cbps-
7월 27일,역대상 4-5장,https://www.youtube.com/playlist?list=PL-MVshquUXWFT33x0zt3Sbb-igTz92hqI
7월 29일,역대상 6-9장,https://www.youtube.com/playlist?list=PL-MVshquUXWEhf8WCvLSQHVtC7Zcz5qQX
7월 30일,역대상 10-12장,https://www.youtube.com/playlist?list=PL-MVshquUXWE9oXA4w3a4v7oBz1elcHni
7월 31일,역대상 13-16장,https://www.youtube.com/playlist?list=PL-MVshquUXWHq-Wq-qc1zmmRSA6Sr1oBH
8월 1일,역대상 17-20장,https://www.youtube.com/playlist?list=PL-MVshquUXWH_40C8s2UUCutuzxiRROXu
8월 2일,역대상 21-22장,https://www.youtube.com/playlist?list=PL-MVshquUXWE1zdEjXbzwxXjmTlzKeD5R
8월 3일,역대상 23-26장,https://www.youtube.com/playlist?list=PL-MVshquUXWG6qg_3L3aN0d7NCo24RC4U
8월 5일,역대상 27-29장,https://www.youtube.com/playlist?list=PL-MVshquUXWH6wYC8asb13uYXw6lr2UAd
8월 6일,역대하 1-4장,https://www.youtube.com/playlist?list=PL-MVshquUXWE5OrCM6GaRsrwBPa1cXYvi
8월 7일,역대하 5-7장,https://www.youtube.com/playlist?list=PL-MVshquUXWEC_YYAvsu50ocrDwksMkAs
8월 8일,역대하 8-9장,https://www.youtube.com/playlist?list=PL-MVshquUXWGZN6W835w6mbj_geoHSSu-
8월 9일,역대하 10-13장,https://www.youtube.com/playlist?list=PL-MVshquUXWHILUuCq3LR6p1zDmVAk8Yi
8월 10일,역대하 14-17장,https://www.youtube.com/playlist?list=PL-MVshquUXWFVQJyFwr4Pf7peU_xaPKvj
8월 12일,역대하 18-22장,https://www.youtube.com/playlist?list=PL-MVshquUXWGJE1lky2fCy6QvMyfQAsea
8월 13일,역대하 23-25장,https://www.youtube.com/playlist?list=PL-MVshquUXWEpRvwJdcB2u1pR_BOM8egX
8월 14일,역대하 26-28장,https://www.youtube.com/playlist?list=PL-MVshquUXWEY6jLktmSbGmi64ZuIA6Od
8월 15일,역대하 29-31장,https://www.youtube.com/playlist?list=PL-MVshquUXWHYw5ZgpONHoqExP973sJet
8월 16일,역대하 32-33장,https://www.youtube.com/playlist?list=PL-MVshquUXWEUOVcN-_i8kTRPBsbWIJOt
8월 17일,역대하 34-36장,https://www.youtube.com/playlist?list=PL-MVshquUXWHy3Qo7kxrdn8xqlWCseI5E
8월 19일,에스겔 1-3장,https://www.youtube.com/playlist?list=PL-MVshquUXWFEJJiiY98wclynz9esHgS1
8월 20일,에스겔 4-7장,https://www.youtube.com/playlist?list=PL-MVshquUXWEqMyIIoDGr1UG1383R4HoS
8월 21일,에스겔 8-11장,https://www.youtube.com/playlist?list=PL-MVshquUXWHBqj5py7-Fljjl4nRBnyJq
8월 22일,에스겔 12-14장,https://www.youtube.com/playlist?list=PL-MVshquUXWH_GobxM3d6bAugNv2GmE73
8월 23일,에스겔 15-17장,https://www.youtube.com/playlist?list=PL-MVshquUXWHLm7PAIaBFu9GUJ4sFaVnV
8월 24일,에스겔 18-20장,https://www.youtube.com/playlist?list=PL-MVshquUXWHa5uxkpBLWsPFZ9-DZ-IbL
8월 26일,에스겔 21-22장,https://www.youtube.com/playlist?list=PL-MVshquUXWFx6D9WGWWSpYXNNALBRxAN
8월 27일,에스겔 23-24장,https://www.youtube.com/playlist?list=PL-MVshquUXWF-Nl9EKAU-_n0zZe_Wj_23
8월 28일,에스겔 25-28장,https://www.youtube.com/playlist?list=PL-MVshquUXWGekCpFE9w-3uvzz3qs88j9
8월 29일,에스겔 29-32장,https://www.youtube.com/playlist?list=PL-MVshquUXWF3tHMeus1aofLRqxj_DKOh
8월 30일,에스겔 33-35장,https://www.youtube.com/playlist?list=PL-MVshquUXWExGq0Pq_nEFJeB89Wvb4kc
8월 31일,에스겔 36-37장,https://www.youtube.com/playlist?list=PL-MVshquUXWGC1YOHDH-CdLPC6pEd5IoZ
9월 2일,에스겔 38-39장,https://www.youtube.com/playlist?list=PL-MVshquUXWFvO4tJiMvNzPS0TaFhIJOy
9월 3일,에스겔 40-41장,https://www.youtube.com/playlist?list=PL-MVshquUXWECjdaU7_1Frs7lD3JuoS1_
9월 4일,에스겔 42-43장,https://www.youtube.com/playlist?list=PL-MVshquUXWFt30G1QMc4BR_23oFE3Spb
9월 5일,에스겔 44-46장,https://www.youtube.com/playlist?list=PL-MVshquUXWGXhRFtCcI6hFLLkVgpFsg4
9월 6일,에스겔 47-48장,https://www.youtube.com/playlist?list=PL-MVshquUXWE-b3NceInhUZdbK22r6uDl
9월 7일,다니엘 1-2장,https://www.youtube.com/playlist?list=PL-MVshquUXWFdeBxlsKHz6pWRmN9vC85o
